,title,link,company,location,description,date_added,skills
32,Python Developer,careerjet.pl/jobad/pl8a367624f5c51600b40e9ebf0c19f920,,,,,
33,Python Developer,careerjet.pl/jobad/pl668333a526073580fd558406af5e9721,,,,,
34,Python Developer,careerjet.pl/jobad/pld238fbc6cfe03be630e64edb2c5ab8d7,,,,,
35,Python Developer,careerjet.pl/jobad/pla770ad6d2fbc300272e167e6419d29ce,,,,,
36,Python Developer,careerjet.pl/jobad/plcc4ce17b250078c4ee4836fbfe187211,,,,,
37,Python Developer,careerjet.pl/jobad/plff2e9fec69a56026961ca93cf4e30d4c,,,,,
38,Python Developer,careerjet.pl/jobad/pl5c574875dd740683463ae4b5b6e252d9,,,,,
39,Python Developer,careerjet.pl/jobad/pl820440d829ef04d6c7de1b197cae9802,,,,,
40,Data Engineer for Voice Assistant,"https://www.pracuj.pl/praca/data-engineer-for-voice-assistant-warszawa,oferta,1002990450",,,,,
41,Senior Network Specialist,"https://www.pracuj.pl/praca/senior-network-specialist-warszawa-tasmowa-10,oferta,1002970818",,,,,
42,Network Automation Engineer,"https://www.pracuj.pl/praca/network-automation-engineer-warszawa-aleje-jerozolimskie-160,oferta,1003000789",,,,,
43,,,,,,,
44,,,,,,,
45,Software Quality Engineer,"https://www.pracuj.pl/praca/software-quality-engineer-krakow-aleja-jana-pawla-ii-43,oferta,1002949341",,,,,
46,Embedded Software Engineer,"https://www.pracuj.pl/praca/embedded-software-engineer-krakow-aleja-jana-pawla-ii-43,oferta,1002949336",,,,,
47,Inżynier Automatyk-Programista,"https://www.pracuj.pl/praca/inzynier-automatyk-programista-orzesze,oferta,1002995077",,,,,
48,Senior Data Modeler / Business Analyst,"https://www.pracuj.pl/praca/senior-data-modeler-business-analyst-krakow-aleja-jana-pawla-ii-43a,oferta,1002975411",,,,,
49,Artificial Intelligence Engineer,"https://www.pracuj.pl/praca/artificial-intelligence-engineer-wroclaw-waniliowa-48,oferta,1002946038",,,,,
50,Test Engineer,"https://www.pracuj.pl/praca/test-engineer-krakow,oferta,1002992838",,,,,
51,,,,,,,
52,Infrastructure Engineer,"https://www.pracuj.pl/praca/infrastructure-engineer-gdansk-aleja-grunwaldzka-50,oferta,1002975278",,,,,
53,Site Reliability Engineer,"https://www.pracuj.pl/praca/site-reliability-engineer-gdansk-aleja-grunwaldzka-50,oferta,1002975281",,,,,
54,C/C++ Developer,"https://www.pracuj.pl/praca/c-c%2b%2b-developer-warszawa-aleje-jerozolimskie-200,oferta,1002992752",,,,,
55,,,,,,,
56,Senior Data Engineer,"https://www.pracuj.pl/praca/senior-data-engineer-warszawa-aleje-jerozolimskie-125,oferta,1002945901",,,,,
57,Regular Python Developer,"https://www.pracuj.pl/praca/regular-python-developer-warszawa,oferta,1002986516",,,,,
58,Technology Summer Analyst Program 2024,"https://www.pracuj.pl/praca/technology-summer-analyst-program-2024-warszawa,oferta,1002980776",,,,,
59,E-commerce Magento Specialist,"https://www.pracuj.pl/praca/e-commerce-magento-specialist-skawina-majdzika-16,oferta,1003000529",,,,,
60,Software Engineer for Integrations Category,"https://www.pracuj.pl/praca/software-engineer-for-integrations-category-warszawa-lopuszanska-95,oferta,1003000519",,,,,
61,Programista,"https://www.pracuj.pl/praca/programista-warszawa-plac-konesera-11,oferta,1002978215",,,,,
62,Product Support Engineer,"https://www.pracuj.pl/praca/product-support-engineer-warszawa-lopuszanska-95,oferta,1003000490",,,,,
63,,,,,,,
64,Application Engineer (f/m/d),"https://www.pracuj.pl/praca/application-engineer-f-m-d-germany,oferta,10295644",,,,,
65,Senior DevOps Engineer,"https://www.pracuj.pl/praca/senior-devops-engineer-warszawa-lopuszanska-95,oferta,1003000465",,,,,
66,DevOps Leader,"https://www.pracuj.pl/praca/devops-leader-warszawa-domaniewska-42,oferta,1002967270",,,,,
67,Test Engineer – Cloud (f/m/d),"https://www.pracuj.pl/praca/test-engineer-cloud-f-m-d-germany,oferta,10295641",,,,,
68,Senior Analytics Engineer,"https://www.pracuj.pl/praca/senior-analytics-engineer-warszawa-lopuszanska-95,oferta,1003000430",,,,,
69,Młodszy Ekspert ds. Analizy i Wizualizacji Danych,"https://www.pracuj.pl/praca/mlodszy-ekspert-ds-analizy-i-wizualizacji-danych-warszawa-woloska-16,oferta,1002978149",,,,,
70,Senior Python Developer,"https://www.pracuj.pl/praca/senior-python-developer-gliwice-kaczyniec-9,oferta,1002970313",,,,,
71,Junior Python Developer,"https://www.pracuj.pl/praca/junior-python-developer-gliwice-kaczyniec-9,oferta,1002970314",,,,,
72,GIS Tools Specialist,"https://www.pracuj.pl/praca/gis-tools-specialist-krakow-lublanska-34,oferta,1002948995",,,,,
73,Specjalista ds. IT i Digitalizacji Procesów,"https://www.pracuj.pl/praca/specjalista-ds-it-i-digitalizacji-procesow-mirkow-pow-wroclawski-wroclawska-43,oferta,1002986323",,,,,
74,Analityk Biznesowy,"https://www.pracuj.pl/praca/analityk-biznesowy-warszawa-konstruktorska-4,oferta,1002977979",,,,,
75,Senior DevOps Engineer,"https://www.pracuj.pl/praca/senior-devops-engineer-warszawa-aleje-jerozolimskie-44,oferta,1002970217",,,,,
76,,,,,,,
77,DevOps Engineer,"https://www.pracuj.pl/praca/devops-engineer-warszawa-plac-europejski-1,oferta,1002948880",,,,,
78,Senior Python Developer,"https://www.pracuj.pl/praca/senior-python-developer-warszawa-aleje-jerozolimskie-136,oferta,1002977882",,,,,
79,Informatyk – Administrator Systemów IT,"https://www.pracuj.pl/praca/informatyk-administrator-systemow-it-myslenice-slowackiego-86,oferta,1003000181",,,,,
80,,,,,,,
81,R&D Team Lead,"https://www.pracuj.pl/praca/r-d-team-lead-warszawa,oferta,1002974602",,,,,
82,Big Data Developer,"https://www.pracuj.pl/praca/big-data-developer-warszawa,oferta,1002994591",,,,,
83,Data Scientist,"https://www.pracuj.pl/praca/data-scientist-warszawa,oferta,1002985977",,,,,
84,Junior Imagery Ingestion and Processing Specialist,"https://www.pracuj.pl/praca/junior-imagery-ingestion-and-processing-specialist-krakow-lublanska-34,oferta,1002983022",,,,,
85,,,,,,,
86,,,,,,,
87,Senior Bioinformatics Engineer,"https://www.pracuj.pl/praca/senior-bioinformatics-engineer-warszawa,oferta,1002969742",,,,,
88,Senior Bioinformatics,"https://www.pracuj.pl/praca/senior-bioinformatics-warszawa,oferta,1002969731",,,,,
89,,,,,,,
90,Data Engineer with Python,"https://www.pracuj.pl/praca/data-engineer-with-python-warszawa-chlodna-51,oferta,1002999830",,,,,
91,AI Developer/ML Engineer,"https://www.pracuj.pl/praca/ai-developer-ml-engineer-warszawa-chlodna-51,oferta,1002974162",,,,,
92,Test Environment Support Engineer,"https://www.pracuj.pl/praca/test-environment-support-engineer-gdynia,oferta,1002969597",,,,,
93,Data Scientist,"https://www.pracuj.pl/praca/data-scientist-warszawa-chlodna-51,oferta,1002974153",,,,,
94,Data Engineer,"https://www.pracuj.pl/praca/data-engineer-warszawa-chlodna-51,oferta,1002974149",,,,,
95,"Corporate Audit, AVP – Full Stack Data Scientist","https://www.pracuj.pl/praca/corporate-audit-avp-full-stack-data-scientist-krakow-generala-bohdana-zielinskiego-3,oferta,1002994331",,,,,
96,"Corporate Audit, Officer - Data Visualization Expert","https://www.pracuj.pl/praca/corporate-audit-officer-data-visualization-expert-krakow-generala-bohdana-zielinskiego-3,oferta,1002994329",,,,,
97,Senior Consultant - Ryzyko Kredytowe - Financial Services Credit Risk,"https://www.pracuj.pl/praca/senior-consultant-ryzyko-kredytowe-financial-services-credit-risk-warszawa-inflancka-4a,oferta,1002945037",,,,,
98,Data Analyst / Scientist,"https://www.pracuj.pl/praca/data-analyst-scientist-warszawa-chlodna-51,oferta,1002974140",,,,,
99,,,,,,,
100,DevOps Engineer,"https://www.pracuj.pl/praca/devops-engineer-warszawa-chlodna-51,oferta,1002937168",,,,,
101,Inżynier DevOps (f/m/d),"https://www.pracuj.pl/praca/inzynier-devops-f-m-d-warszawa-inflancka-4b,oferta,1002969498",,,,,
102,IT Support,"https://www.pracuj.pl/praca/it-support-warszawa,oferta,1002954072",,,,,
103,IT Security Consultant,"https://www.pracuj.pl/praca/it-security-consultant-warszawa,oferta,1002954059",,,,,
104,Senior Full Stack PHP Developer,"https://www.pracuj.pl/praca/senior-full-stack-php-developer-warszawa,oferta,1002999639",,,,,
105,Python Developer,"https://www.pracuj.pl/praca/python-developer-warszawa,oferta,1002999605",,,,,
106,Senior Linux Engineer (RHEL IdM/IPA),"https://www.pracuj.pl/praca/senior-linux-engineer-rhel-idm-ipa-gdansk-leona-droszynskiego-24,oferta,1002971396",,,,,
107,"Data Analytics Auditor, Officer","https://www.pracuj.pl/praca/data-analytics-auditor-officer-krakow-podgorska-36,oferta,1002919652",,,,,
108,Machine Learning Team Lead,"https://www.pracuj.pl/praca/machine-learning-team-lead-poznan,oferta,1002930549",,,,,
109,Full Stack Developer (Python + Django + React.js),"https://www.pracuj.pl/praca/full-stack-developer-python-%2b-django-%2b-react-js-warszawa,oferta,1002999571",,,,,
110,QA Automation Engineer,"https://www.pracuj.pl/praca/qa-automation-engineer-warszawa-chlodna-48,oferta,1002999563",,,,,
111,"Inżynier ds. Standardów, Rozwoju i Utrzymania Sieci Transmisyjnej","https://www.pracuj.pl/praca/inzynier-ds-standardow-rozwoju-i-utrzymania-sieci-transmisyjnej-warszawa,oferta,1002999534",,,,,
112,Ekspert ds. Modelowania Ryzyka Kredytowego,"https://www.pracuj.pl/praca/ekspert-ds-modelowania-ryzyka-kredytowego-warszawa-romualda-traugutta-7-9,oferta,1002979813",,,,,
113,Big Data Engineer,"https://www.pracuj.pl/praca/big-data-engineer-warszawa-tadeusza-rejtana-17,oferta,1002973638",,,,,
114,,,,,,,
115,Security Engineer - Android Vulnerability Researcher,"https://www.pracuj.pl/praca/security-engineer-android-vulnerability-researcher-warszawa-plac-europejski-1,oferta,1002948069",,,,,
116,Analityk rozwiązań AI,"https://www.pracuj.pl/praca/analityk-rozwiazan-ai-poznan-aleje-solidarnosci-46,oferta,1002999370",,,,,
117,Support Engineer - Azure AI,"https://www.pracuj.pl/praca/support-engineer-azure-ai-united-states-of-america,oferta,10289846",,,,,
118,Analityk ds. Programowania w Wydziale Analiz i Rozwoju Oprogramowania w Biurze Teleinformatyki,"https://www.pracuj.pl/praca/analityk-ds-programowania-w-wydziale-analiz-i-rozwoju-oprogramowania-w-biurze-te-warszawa-karolkowa-30,oferta,1002974344",,,,,
119,Senior Test Automation Engineer,"https://www.pracuj.pl/praca/senior-test-automation-engineer-warszawa-aleje-jerozolimskie-134,oferta,1002999294",,,,,
120,Junior DevOps Engineer,"https://www.pracuj.pl/praca/junior-devops-engineer-warszawa,oferta,1002969003",,,,,
121,Data Engineer,"https://www.pracuj.pl/praca/data-engineer-warszawa,oferta,1002973416",,,,,
122,Senior Data Engineer (AI),"https://www.pracuj.pl/praca/senior-data-engineer-ai-warszawa-mokotowska-49,oferta,1002985217",,,,,
123,PL/SQL Developer - DWH Engineer,"https://www.pracuj.pl/praca/pl-sql-developer-dwh-engineer-warszawa-chlodna-51,oferta,1002991593",,,,,
124,Data Scientist,"https://www.pracuj.pl/praca/data-scientist-wroclaw-plac-konstytucji-3-maja-3,oferta,1002947846",,,,,
125,Angular Developer,"https://www.pracuj.pl/praca/angular-developer-ozarow-mazowiecki,oferta,1002973358",,,,,
126,C/C++ Software Engineer – Compiler Engineer,"https://www.pracuj.pl/praca/c-c%2b%2b-software-engineer-compiler-engineer-warszawa-plac-europejski-1,oferta,1002979489",,,,,
127,Test automation Engineer with Python,"https://www.pracuj.pl/praca/test-automation-engineer-with-python-krakow-krupnicza-3,oferta,1002991519",,,,,
128,Python Engineer,"https://www.pracuj.pl/praca/python-engineer-krakow,oferta,1002999186",,,,,
129,Back-End Engineer for Cloud Platform Services,"https://www.pracuj.pl/praca/back-end-engineer-for-cloud-platform-services-warszawa-plac-europejski-1,oferta,1002979372",,,,,
130,Senior Azure Solutions Engineer,"https://www.pracuj.pl/praca/senior-azure-solutions-engineer-warszawa,oferta,1002988539",,,,,
131,Junior Network Test Automation Engineer,"https://www.pracuj.pl/praca/junior-network-test-automation-engineer-warszawa-krancowa-5,oferta,1002968778",,,,,
132,Lead Data Engineer,"https://www.pracuj.pl/praca/lead-data-engineer-gdansk,oferta,1002985047",,,,,
133,(Cybersecurity) SRE Vulnerability Remediation Engineer,"https://www.pracuj.pl/praca/cybersecurity-sre-vulnerability-remediation-engineer-krakow-kapelanka-42a,oferta,1002999027",,,,,
134,Administrator Systemu IT (RPA) (k/m),"https://www.pracuj.pl/praca/administrator-systemu-it-rpa-k-m-warszawa,oferta,1002999018",,,,,
135,Data analyst (k/m),"https://www.pracuj.pl/praca/data-analyst-k-m-warszawa,oferta,1002976532",,,,,
136,Młodszy Specjalista ds. Systemu Service Desk,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-systemu-service-desk-katowice,oferta,1002968585",,,,,
137,Cyber Security Expert (XSOAR),"https://www.pracuj.pl/praca/cyber-security-expert-xsoar-warszawa,oferta,1002998845",,,,,
138,Inżynier ds. Oprogramowania (SQL/Python),"https://www.pracuj.pl/praca/inzynier-ds-oprogramowania-sql-python-krakow-gromadzka-54a,oferta,1002968462",,,,,
139,AI Engineer (Generative AI & NLP),"https://www.pracuj.pl/praca/ai-engineer-generative-ai-nlp-wroclaw,oferta,1002953258",,,,,
